SampleID,Breadth_Coverage,Coverage_Depth,Cov_bases,Type
DB-38,36.2615,0.436219,6035,Bwa_pad
DB-39,95.5641,3.97109,15899,Bwa_pad
DK-49,99.9159,30.931,16629,Bwa_pad
DP-52,99.976,31.814,16692,Bwa_pad
DP-53,97.5503,4.44148,16287,Bwa_pad
KU-32,78.4401,1.6137,13225,Bwa_pad
KU-34,97.8001,7.15934,16271,Bwa_pad
KU-35,97.5125,4.36424,16229,Bwa_pad
LV-17,1.04389,0.0104389,176,Bwa_pad
LV-19,12.159,0.133155,2050,Bwa_pad
LV-22,1.45907,0.0145907,246,Bwa_pad
LV-24,40.1898,0.52497,6776,Bwa_pad
LV-28,97.9756,5.16812,16358,Bwa_pad
LV-29,97.241,7.28005,16424,Bwa_pad
PA-01,95.9549,4.68037,16178,Bwa_pad
PA-04,78.656,1.66181,13285,Bwa_pad
PA-06,99.0082,35.9621,16472,Bwa_pad
PA-11,98.6714,6.69893,16636,Bwa_pad
PA-16,85.4714,2.05233,14225,Bwa_pad
ST-54,99.6441,30.0737,16800,Bwa_pad
ST-55,99.573,28.3214,16788,Bwa_pad
ST-56,99.5967,9.97883,16792,Bwa_pad
VM-43,96.72,4.74929,16307,Bwa_pad
VM-44,91.121,2.82301,15363,Bwa_pad
DK-47,97.9953,5.15083,16522,Bwa_pad
DB-38,29.61,0.340203,4928,Bowtie_pad
DB-39,88.5917,3.03895,14739,Bowtie_pad
DK-47,92.9537,3.33007,15672,Bowtie_pad
DK-49,99.9159,28.2189,16629,Bowtie_pad
DP-52,99.0896,25.4551,16544,Bowtie_pad
DP-53,89.9018,2.87242,15010,Bowtie_pad
KU-32,67.3191,1.18535,11350,Bowtie_pad
KU-34,90.996,4.27246,15139,Bowtie_pad
KU-35,93.3425,3.04975,15535,Bowtie_pad
LV-17,0.450771,0.00450771,76,Bowtie_pad
LV-19,9.00356,0.0951364,1518,Bowtie_pad
LV-22,1.06168,0.0106168,179,Bowtie_pad
LV-24,28.4935,0.343594,4804,Bowtie_pad
LV-28,93.4775,3.73239,15607,Bowtie_pad
LV-29,94.9378,5.65613,16035,Bowtie_pad
PA-01,93.2206,3.69193,15717,Bowtie_pad
PA-04,63.3393,1.072,10698,Bowtie_pad
PA-06,96.6761,29.0698,16084,Bowtie_pad
PA-11,97.5801,5.27639,16452,Bowtie_pad
PA-16,74.7401,1.43484,12439,Bowtie_pad
ST-54,99.1874,26.3211,16723,Bowtie_pad
ST-55,98.7426,24.8338,16648,Bowtie_pad
ST-56,98.3096,8.07432,16575,Bowtie_pad
VM-43,95.6762,4.33233,16131,Bowtie_pad
VM-44,90.0712,2.63203,15186,Bowtie_pad