SampleID,Site,Species,Period
VM-43,Viminaciuim,Huso huso,Roman
VM-44,Viminaciuim,Huso huso,Roman
ST-55,Studenica,Huso huso,Late Medieval
ST-56,Studenica,Huso huso,Late Medieval
ST-54,Studenica,Huso huso,Late Medieval
PA-01,Padina,Huso huso,Mesolithic
PA-11,Padina,Huso huso,Mesolithic-Neolithic Transition
PA-06,Padina,Acip. stellatus,Mesolithic
PA-04,Padina,Acip. ruthenus,Mesolithic
PA-16,Padina,Acip. nudiventris,Neolithic
LV-24,Lepenski Vir,Huso huso,Mesolithic-Neolithic Transition
LV-28,Lepenski Vir,Acip. gueldaestaedti,Mesolithic-Neolithic Transition
LV-19,Lepenski Vir,Huso huso,Mesolithic
LV-29,Lepenski Vir,Acip. ruthenus,Neolithic
KU-32,Kula,Huso huso,Mesolithic-Neolithic Transition
KU-35,Kula,Acip. nudiventris,Mesolithic-Neolithic Transition
KU-34,Kula,Acip. stellatus,Mesolithic-Neolithic Transition
DP-52,Dupljaja-Grad,Acip. gueldaestaedti,High Medieval
DP-53,Dupljaja-Grad,Acip. gueldaestaedti,High Medieval
DB-39,Donja Branjevina,Acip. stellatus,Neolithic
DB-38,Donja Branjevina,Acip. nudiventris,Neolithic
DK-47,Diana-Karataš,Huso huso,Late Roman
DK-49,Diana-Karataš,Acip. nudiventris,Late Roman
LV-17,Lepenski Vir,Huso huso,Mesolihic
LV-22,Lepenski Vir,Huso huso,Mesolithic